Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
Myles Patrick;80; 6-8;220;2,032;99,77324263
Myron Jackson;75; 6-3;185;1,905;83,90022676
Nando De Colo;77; 6-5;200;1,9558;90,70294785
Nate Blackwell;76; 6-4;170;1,9304;77,09750567
Nate Bowman;82; 6-10;230;2,0828;104,30839
Nate Driggers;77; 6-5;215;1,9558;97,50566893
Nate Hawthorne;76; 6-4;190;1,9304;86,16780045
Nate Huffman;85; 7-1;245;2,159;111,1111111
Nate Johnston;80; 6-8;210;2,032;95,23809524
Nate McMillan;77; 6-5;195;1,9558;88,43537415
Nate Robinson;69; 5-9;180;1,7526;81,63265306
Nate Thurmond;83; 6-11;225;2,1082;102,0408163
Nate Williams;77; 6-5;215;1,9558;97,50566893
Nate Wolters;76; 6-4;190;1,9304;86,16780045
Nathan Jawai;82; 6-10;280;2,0828;126,984127
Nathaniel Clifton;78; 6-6;220;1,9812;99,77324263
Nazr Mohammed;82; 6-10;221;2,0828;100,2267574
Ndudi Ebi;81; 6-9;200;2,0574;90,70294785
Neal Walk;82; 6-10;220;2,0828;99,77324263
Negele Knight;73; 6-1;175;1,8542;79,36507937
Neil Johnson;79; 6-7;220;2,0066;99,77324263
Neil Johnston;80; 6-8;210;2,032;95,23809524
Nemanja Nedovic;75; 6-3;192;1,905;87,07482993
Nenad Krstic;84; 7-0;240;2,1336;108,8435374
Nene;83; 6-11;260;2,1082;117,9138322
Nick Anderson;78; 6-6;205;1,9812;92,97052154
Nick Calathes;78; 6-6;213;1,9812;96,59863946
Nick Collison;81; 6-9;255;2,0574;115,6462585
Nick Fazekas;83; 6-11;235;2,1082;106,5759637
Nick Jones;74; 6-2;190;1,8796;86,16780045
Nick Mantis;75; 6-3;190;1,905;86,16780045
Nick Van Exel;73; 6-1;170;1,8542;77,09750567
Nick Vanos;85; 7-1;255;2,159;115,6462585
Nick Weatherspoon;79; 6-7;195;2,0066;88,43537415
Nick Young;78; 6-6;200;1,9812;90,70294785
Nicolas Batum;80; 6-8;200;2,032;90,70294785
Nikita Wilson;80; 6-8;200;2,032;90,70294785
Nikola Pekovic;83; 6-11;285;2,1082;129,2517007
Nikola Vucevic;82; 6-10;240;2,0828;108,8435374
Nikoloz Tskitishvili;84; 7-0;225;2,1336;102,0408163
Noel Felix;81; 6-9;225;2,0574;102,0408163
Nolan Smith;74; 6-2;185;1,8796;83,90022676
Norm Cook;80; 6-8;210;2,032;95,23809524
Norm Nixon;74; 6-2;170;1,8796;77,09750567
Norm Richardson;77; 6-5;190;1,9558;86,16780045
Norm Stewart;77; 6-5;205;1,9558;92,97052154
Norm Van Lier;73; 6-1;173;1,8542;78,45804989
Norman Black;77; 6-5;185;1,9558;83,90022676
Norris Cole;74; 6-2;170;1,8796;77,09750567
Norris Coleman;80; 6-8;210;2,032;95,23809524
Norton Barnhill;76; 6-4;205;1,9304;92,97052154
O.J. Mayo;76; 6-4;210;1,9304;95,23809524
Obinna Ekezie;81; 6-9;270;2,0574;122,4489796
Odie Spears;77; 6-5;205;1,9558;92,97052154
Odis Allison;78; 6-6;195;1,9812;88,43537415
Ognjen Kuzmic;85; 7-1;251;2,159;113,8321995
Olden Polynice;83; 6-11;220;2,1082;99,77324263
Oleksiy Pecherov;84; 7-0;234;2,1336;106,122449
Oliver Lafayette;74; 6-2;190;1,8796;86,16780045
Oliver Miller;81; 6-9;280;2,0574;126,984127
Oliver Robinson;76; 6-4;180;1,9304;81,63265306
Ollie Johnson;78; 6-6;200;1,9812;90,70294785
Ollie Mack;75; 6-3;185;1,905;83,90022676
Olumide Oyedeji;82; 6-10;240;2,0828;108,8435374
Omar Cook;73; 6-1;190;1,8542;86,16780045
Omer Asik;84; 7-0;255;2,1336;115,6462585
Omri Casspi;81; 6-9;225;2,0574;102,0408163
Orien Greene;76; 6-4;208;1,9304;94,33106576
Orlando Graham;80; 6-8;220;2,032;99,77324263
Orlando Johnson;77; 6-5;220;1,9558;99,77324263
Orlando Woolridge;81; 6-9;215;2,0574;97,50566893
Oscar Robertson;77; 6-5;205;1,9558;92,97052154
Oscar Torres;78; 6-6;210;1,9812;95,23809524
Othell Wilson;72; 6-0;190;1,8288;86,16780045
Othella Harrington;81; 6-9;235;2,0574;106,5759637
Othello Hunter;80; 6-8;225;2,032;102,0408163
Othyus Jeffers;77; 6-5;200;1,9558;90,70294785
Otis Birdsong;75; 6-3;190;1,905;86,16780045
Otis Howard;79; 6-7;220;2,0066;99,77324263
Otis Smith;77; 6-5;210;1,9558;95,23809524
Otis Thorpe;81; 6-9;225;2,0574;102,0408163
Otto Moore;83; 6-11;205;2,1082;92,97052154
Otto Porter;81; 6-9;198;2,0574;89,79591837
Owen Wells;79; 6-7;200;2,0066;90,70294785
Ozell Jones;83; 6-11;235;2,1082;106,5759637
P.J. Brown;83; 6-11;225;2,1082;102,0408163
P.J. Tucker;77; 6-5;225;1,9558;102,0408163
Pablo Prigioni;75; 6-3;180;1,905;81,63265306
Pace Mannion;79; 6-7;190;2,0066;86,16780045
Pape Sow;82; 6-10;250;2,0828;113,3786848
Pape Sy;79; 6-7;225;2,0066;102,0408163
Pat Burke;83; 6-11;250;2,1082;113,3786848
Pat Cummings;81; 6-9;230;2,0574;104,30839
Pat Dunn;74; 6-2;170;1,8796;77,09750567
Pat Durham;79; 6-7;210;2,0066;95,23809524
Pat Frink;76; 6-4;195;1,9304;88,43537415
Pat Garrity;81; 6-9;238;2,0574;107,9365079
Pat Riley;76; 6-4;205;1,9304;92,97052154
Patrick Beverley;73; 6-1;180;1,8542;81,63265306
Patrick Ewing;80; 6-8;235;2,032;106,5759637
Patrick Ewing;84; 7-0;240;2,1336;108,8435374
Patrick Mills;72; 6-0;185;1,8288;83,90022676
Patrick O'Bryant;84; 7-0;260;2,1336;117,9138322
Patrick Patterson;81; 6-9;235;2,0574;106,5759637
Pau Gasol;84; 7-0;227;2,1336;102,9478458
Paul Arizin;76; 6-4;190;1,9304;86,16780045
Paul Davis;83; 6-11;270;2,1082;122,4489796
Paul Dawkins;77; 6-5;190;1,9558;86,16780045
Paul George;81; 6-9;220;2,0574;99,77324263
Paul Graham;78; 6-6;200;1,9812;90,70294785
Paul Grant;84; 7-0;245;2,1336;111,1111111
Paul Griffin;81; 6-9;205;2,0574;92,97052154
Paul Hoffman;74; 6-2;195;1,8796;88,43537415
Paul Hogue;81; 6-9;240;2,0574;108,8435374
Paul Long;74; 6-2;180;1,8796;81,63265306
Paul McCracken;76; 6-4;180;1,9304;81,63265306
Paul McPherson;76; 6-4;210;1,9304;95,23809524
Paul Millsap;80; 6-8;245;2,032;111,1111111
Paul Mokeski;84; 7-0;250;2,1336;113,3786848
Paul Neumann;73; 6-1;175;1,8542;79,36507937
Paul Pierce;78; 6-6;230;1,9812;104,30839
Paul Pressey;77; 6-5;185;1,9558;83,90022676
Paul Ruffner;82; 6-10;225;2,0828;102,0408163
Paul Seymour;73; 6-1;180;1,8542;81,63265306
Paul Shirley;82; 6-10;230;2,0828;104,30839
Paul Silas;79; 6-7;220;2,0066;99,77324263
Paul Stovall;76; 6-4;215;1,9304;97,50566893
Paul Thompson;78; 6-6;210;1,9812;95,23809524
Paul Walther;74; 6-2;160;1,8796;72,56235828
Paul Westphal;76; 6-4;195;1,9304;88,43537415
Pavel Podkolzin;89; 7-5;260;2,2606;117,9138322
Pearl Washington;74; 6-2;190;1,8796;86,16780045
Peja Stojakovic;81; 6-9;220;2,0574;99,77324263
Pep Saul;74; 6-2;185;1,8796;83,90022676
Pepe Sanchez;76; 6-4;195;1,9304;88,43537415
Pero Antic;83; 6-11;260;2,1082;117,9138322
Perry Jones;83; 6-11;235;2,1082;106,5759637
Perry Moss;74; 6-2;185;1,8796;83,90022676
Perry Warbington;74; 6-2;165;1,8796;74,82993197
Perry Young;77; 6-5;210;1,9558;95,23809524
Pervis Ellison;81; 6-9;210;2,0574;95,23809524
Pete Brennan;78; 6-6;205;1,9812;92,97052154
Pete Chilcutt;82; 6-10;230;2,0828;104,30839
Pete Cross;81; 6-9;230;2,0574;104,30839
Pete Maravich;77; 6-5;197;1,9558;89,34240363
Pete Myers;78; 6-6;180;1,9812;81,63265306
Pete Verhoeven;81; 6-9;215;2,0574;97,50566893
Pete Williams;79; 6-7;190;2,0066;86,16780045
Peter Aluma;82; 6-10;260;2,0828;117,9138322
Peter John Ramos;87; 7-3;275;2,2098;124,7165533
Peter Thibeaux;79; 6-7;210;2,0066;95,23809524
Petur Gudmundsson;86; 7-2;260;2,1844;117,9138322
Peyton Siva;72; 6-0;185;1,8288;83,90022676
Phil Bond;74; 6-2;175;1,8796;79,36507937
Phil Chenier;75; 6-3;180;1,905;81,63265306
Phil Ford;74; 6-2;175;1,8796;79,36507937
Phil Hankinson;80; 6-8;195;2,032;88,43537415
Phil Hicks;79; 6-7;205;2,0066;92,97052154
Phil Hubbard;80; 6-8;215;2,032;97,50566893
Phil Jackson;80; 6-8;220;2,032;99,77324263
Phil Jordon;82; 6-10;205;2,0828;92,97052154
Phil Lumpkin;72; 6-0;165;1,8288;74,82993197
Phil Martin;75; 6-3;190;1,905;86,16780045
Phil Pressey;71; 5-11;175;1,8034;79,36507937
Phil Rollins;74; 6-2;185;1,8796;83,90022676
Phil Sellers;76; 6-4;195;1,9304;88,43537415
Phil Smith;76; 6-4;185;1,9304;83,90022676
Phil Walker;75; 6-3;180;1,905;81,63265306
Phil Zevenbergen;82; 6-10;230;2,0828;104,30839
Pickles Kennedy;71; 5-11;180;1,8034;81,63265306
Plummer Lott;77; 6-5;210;1,9558;95,23809524
Pooh Richardson;73; 6-1;180;1,8542;81,63265306
Popeye Jones;80; 6-8;250;2,032;113,3786848
Pops Mensah-Bonsu;81; 6-9;240;2,0574;108,8435374
Porter Meriwether;74; 6-2;180;1,8796;81,63265306
Predrag Drobnjak;83; 6-11;270;2,1082;122,4489796
Predrag Savovic;78; 6-6;225;1,9812;102,0408163
Priest Lauderdale;88; 7-4;325;2,2352;147,3922902
Primoz Brezec;86; 7-2;252;2,1844;114,2857143
Purvis Short;79; 6-7;210;2,0066;95,23809524
Quentin Richardson;78; 6-6;223;1,9812;101,1337868
Quincy Acy;79; 6-7;233;2,0066;105,6689342
Quincy Douby;75; 6-3;175;1,905;79,36507937
Quincy Lewis;79; 6-7;215;2,0066;97,50566893
Quincy Miller;81; 6-9;210;2,0574;95,23809524
Quincy Pondexter;78; 6-6;225;1,9812;102,0408163
Quinn Buckner;75; 6-3;190;1,905;86,16780045
Quintin Dailey;75; 6-3;180;1,905;81,63265306
Quinton Ross;78; 6-6;195;1,9812;88,43537415
Qyntel Woods;80; 6-8;221;2,032;100,2267574
Radisav Curcic;82; 6-10;275;2,0828;124,7165533
Raef LaFrentz;83; 6-11;240;2,1082;108,8435374
Rafael Addison;79; 6-7;215;2,0066;97,50566893
Rafael Araujo;83; 6-11;280;2,1082;126,984127
Rafer Alston;74; 6-2;171;1,8796;77,55102041
Raja Bell;77; 6-5;204;1,9558;92,5170068
Rajon Rondo;73; 6-1;171;1,8542;77,55102041
Ralph Davis;76; 6-4;180;1,9304;81,63265306
Ralph Drollinger;86; 7-2;250;2,1844;113,3786848
Ralph Lewis;78; 6-6;200;1,9812;90,70294785
Ralph Ogden;77; 6-5;205;1,9558;92,97052154
Ralph Sampson;88; 7-4;228;2,2352;103,4013605
Ralph Simpson;77; 6-5;200;1,9558;90,70294785
Ralph Wells;73; 6-1;180;1,8542;81,63265306
Ramon Rivas;82; 6-10;260;2,0828;117,9138322
Ramon Sessions;75; 6-3;190;1,905;86,16780045
Randell Jackson;83; 6-11;215;2,1082;97,50566893
Randolph Childress;74; 6-2;188;1,8796;85,26077098
Randolph Keys;79; 6-7;195;2,0066;88,43537415
Randolph Morris;82; 6-10;266;2,0828;120,6349206
Randy Allen;80; 6-8;220;2,032;99,77324263
Randy Breuer;87; 7-3;230;2,2098;104,30839
Randy Brown;74; 6-2;190;1,8796;86,16780045
Randy Denton;82; 6-10;240;2,0828;108,8435374
Randy Foye;76; 6-4;210;1,9304;95,23809524
Randy Holcomb;81; 6-9;225;2,0574;102,0408163
Randy Livingston;76; 6-4;209;1,9304;94,7845805
Randy Smith;75; 6-3;180;1,905;81,63265306
Randy White;80; 6-8;240;2,032;108,8435374
Randy Wittman;78; 6-6;210;1,9812;95,23809524
Randy Woods;70; 5-10;185;1,778;83,90022676
Rashad McCants;76; 6-4;207;1,9304;93,87755102
Rashard Lewis;82; 6-10;215;2,0828;97,50566893
Rasheed Wallace;82; 6-10;225;2,0828;102,0408163
Rasho Nesterovic;84; 7-0;248;2,1336;112,4716553
Rastko Cvetkovic;85; 7-1;260;2,159;117,9138322
Rasual Butler;79; 6-7;205;2,0066;92,97052154
Ratko Varda;85; 7-1;260;2,159;117,9138322
Raul Lopez;73; 6-1;170;1,8542;77,09750567
Rawle Marshall;81; 6-9;190;2,0574;86,16780045
Ray Allen;77; 6-5;205;1,9558;92,97052154
Ray Blume;76; 6-4;185;1,9304;83,90022676
Ray Epps;78; 6-6;195;1,9812;88,43537415
Ray Felix;83; 6-11;220;2,1082;99,77324263
Ray McCallum;75; 6-3;190;1,905;86,16780045
Ray Owes;81; 6-9;224;2,0574;101,5873016
Ray Radziszewski;77; 6-5;210;1,9558;95,23809524
Ray Scott;81; 6-9;215;2,0574;97,50566893
Ray Tolbert;81; 6-9;225;2,0574;102,0408163
Ray Williams;75; 6-3;188;1,905;85,26077098
Raymond Brown;80; 6-8;220;2,032;99,77324263
Raymond Felton;73; 6-1;198;1,8542;89,79591837
Raymond Townsend;75; 6-3;175;1,905;79,36507937
Red Davis;79; 6-7;220;2,0066;99,77324263
Red Kerr;81; 6-9;230;2,0574;104,30839
Red Morrison;80; 6-8;220;2,032;99,77324263
Red Rocha;81; 6-9;185;2,0574;83,90022676
Reece Gaines;78; 6-6;205;1,9812;92,97052154
Reggie Bullock;79; 6-7;205;2,0066;92,97052154
Reggie Carter;75; 6-3;175;1,905;79,36507937
Reggie Evans;80; 6-8;245;2,032;111,1111111
Reggie Geary;74; 6-2;187;1,8796;84,80725624
Reggie Hanson;80; 6-8;195;2,032;88,43537415
Reggie Harding;84; 7-0;249;2,1336;112,9251701
Reggie Jackson;75; 6-3;208;1,905;94,33106576
Reggie Johnson;81; 6-9;205;2,0574;92,97052154
Reggie Jordan;76; 6-4;195;1,9304;88,43537415
Reggie King;78; 6-6;225;1,9812;102,0408163
Reggie Lewis;79; 6-7;195;2,0066;88,43537415
Reggie Miller;79; 6-7;185;2,0066;83,90022676
Reggie Slater;79; 6-7;215;2,0066;97,50566893
Reggie Smith;82; 6-10;240;2,0828;108,8435374
Reggie Theus;79; 6-7;190;2,0066;86,16780045
Reggie Williams;78; 6-6;210;1,9812;95,23809524
Reggie Williams;79; 6-7;190;2,0066;86,16780045
Renaldo Balkman;80; 6-8;208;2,032;94,33106576
Renaldo Major;79; 6-7;200;2,0066;90,70294785
Rex Chapman;76; 6-4;185;1,9304;83,90022676
Rex Morgan;77; 6-5;190;1,9558;86,16780045
Rex Walters;76; 6-4;190;1,9304;86,16780045
Rich Eichhorst;75; 6-3;200;1,905;90,70294785
Rich Johnson;79; 6-7;210;2,0066;95,23809524
Rich Jones;78; 6-6;220;1,9812;99,77324263
Rich Kelley;84; 7-0;235;2,1336;106,5759637
Rich King;86; 7-2;260;2,1844;117,9138322
Rich Laurel;78; 6-6;190;1,9812;86,16780045
Rich Manning;83; 6-11;253;2,1082;114,739229
Rich Niemann;84; 7-0;245;2,1336;111,1111111
Rich Rinaldi;75; 6-3;195;1,905;88,43537415
Rich Yonakor;81; 6-9;220;2,0574;99,77324263
Richard Anderson;82; 6-10;240;2,0828;108,8435374
Richard Coffey;78; 6-6;212;1,9812;96,14512472
Richard Dumas;79; 6-7;200;2,0066;90,70294785
Richard Hamilton;78; 6-6;185;1,9812;83,90022676
Richard Jefferson;79; 6-7;222;2,0066;100,6802721
Richard Morton;75; 6-3;190;1,905;86,16780045
Richard Petruska;82; 6-10;260;2,0828;117,9138322
Richard Rellford;78; 6-6;230;1,9812;104,30839
Richard Washington;83; 6-11;220;2,1082;99,77324263
Richie Frahm;77; 6-5;210;1,9558;95,23809524
Richie Guerin;76; 6-4;195;1,9304;88,43537415
Richie Regan;74; 6-2;180;1,8796;81,63265306
Rick Adelman;73; 6-1;175;1,8542;79,36507937
Rick Barry;79; 6-7;205;2,0066;92,97052154
Rick Brunson;76; 6-4;190;1,9304;86,16780045
Rick Calloway;78; 6-6;180;1,9812;81,63265306
Rick Carlisle;77; 6-5;210;1,9558;95,23809524
Rick Fox;79; 6-7;230;2,0066;104,30839
Rick Hughes;81; 6-9;235;2,0574;106,5759637
Rick Mahorn;82; 6-10;240;2,0828;108,8435374
Rick Roberson;81; 6-9;231;2,0574;104,7619048
Rick Robey;83; 6-11;230;2,1082;104,30839
Rick Weitzman;74; 6-2;175;1,8796;79,36507937
Rick Wilson;77; 6-5;200;1,9558;90,70294785
Rickey Brown;82; 6-10;215;2,0828;97,50566893
Rickey Green;72; 6-0;170;1,8288;77,09750567
Rickey Williams;73; 6-1;175;1,8542;79,36507937
Rickie Winslow;80; 6-8;225;2,032;102,0408163
Ricky Berry;80; 6-8;205;2,032;92,97052154
Ricky Blanton;79; 6-7;215;2,0066;97,50566893
Ricky Davis;78; 6-6;195;1,9812;88,43537415
Ricky Grace;73; 6-1;180;1,8542;81,63265306
Ricky Ledo;79; 6-7;195;2,0066;88,43537415
Ricky Marsh;75; 6-3;200;1,905;90,70294785
Ricky Pierce;76; 6-4;205;1,9304;92,97052154
Ricky Rubio;76; 6-4;180;1,9304;81,63265306
Ricky Sobers;75; 6-3;198;1,905;89,79591837
Ricky Wilson;75; 6-3;195;1,905;88,43537415
Rik Smits;88; 7-4;250;2,2352;113,3786848
Rob Kurz;81; 6-9;232;2,0574;105,2154195
Rob Lock;81; 6-9;225;2,0574;102,0408163
Rob Rose;77; 6-5;180;1,9558;81,63265306
Rob Williams;74; 6-2;175;1,8796;79,36507937
Robbie Hummel;80; 6-8;215;2,032;97,50566893
Robert Archibald;83; 6-11;250;2,1082;113,3786848
Robert Churchwell;78; 6-6;195;1,9812;88,43537415
Robert Covington;81; 6-9;215;2,0574;97,50566893
Robert Hawkins;76; 6-4;190;1,9304;86,16780045
Robert Hite;74; 6-2;184;1,8796;83,44671202
Robert Horry;81; 6-9;220;2,0574;99,77324263
Robert Pack;74; 6-2;180;1,8796;81,63265306
Robert Parish;84; 7-0;230;2,1336;104,30839
Robert Reid;80; 6-8;205;2,032;92,97052154
Robert Sacre;84; 7-0;263;2,1336;119,2743764
Robert Smith;71; 5-11;165;1,8034;74,82993197
Robert Swift;84; 7-0;245;2,1336;111,1111111
Robert Traylor;80; 6-8;284;2,032;128,7981859
Robert Werdann;83; 6-11;250;2,1082;113,3786848
Robert Whaley;82; 6-10;260;2,0828;117,9138322
Robin Jones;81; 6-9;225;2,0574;102,0408163
Robin Lopez;84; 7-0;255;2,1336;115,6462585
Rock Lee;82; 6-10;220;2,0828;99,77324263
Rod Derline;72; 6-0;175;1,8288;79,36507937
Rod Foster;73; 6-1;160;1,8542;72,56235828
Rod Freeman;79; 6-7;225;2,0066;102,0408163
Rod Higgins;79; 6-7;200;2,0066;90,70294785
Rod Knowles;81; 6-9;215;2,0574;97,50566893
Rod Strickland;75; 6-3;175;1,905;79,36507937
Rod Thorn;76; 6-4;195;1,9304;88,43537415
Rodney Buford;77; 6-5;189;1,9558;85,71428571
Rodney Carney;79; 6-7;205;2,0066;92,97052154
Rodney McCray;79; 6-7;220;2,0066;99,77324263
Rodney Rogers;79; 6-7;235;2,0066;106,5759637
Rodney Stuckey;77; 6-5;205;1,9558;92,97052154
Rodney White;81; 6-9;238;2,0574;107,9365079
Rodrick Rhodes;78; 6-6;225;1,9812;102,0408163
Rodrigue Beaubois;72; 6-0;170;1,8288;77,09750567
Roger Brown;83; 6-11;225;2,1082;102,0408163
Roger Burkman;77; 6-5;175;1,9558;79,36507937
Roger Mason;77; 6-5;200;1,9558;90,70294785
Roger Phegley;78; 6-6;205;1,9812;92,97052154
Roger Powell;78; 6-6;235;1,9812;106,5759637
Roger Strickland;77; 6-5;200;1,9558;90,70294785
Roko Ukic;77; 6-5;183;1,9558;82,99319728
Roland West;76; 6-4;178;1,9304;80,72562358
Rolando Blackman;78; 6-6;190;1,9812;86,16780045
Rolando Ferreira;85; 7-1;240;2,159;108,8435374
Rollen Hans;74; 6-2;210;1,8796;95,23809524
Ron Anderson;79; 6-7;215;2,0066;97,50566893
Ron Behagen;81; 6-9;185;2,0574;83,90022676
Ron Bonham;77; 6-5;192;1,9558;87,07482993
Ron Boone;74; 6-2;200;1,8796;90,70294785
Ron Brewer;76; 6-4;180;1,9304;81,63265306
Ron Carter;77; 6-5;190;1,9558;86,16780045
Ron Cavenall;85; 7-1;230;2,159;104,30839
Ron Crevier;84; 7-0;235;2,1336;106,5759637
Ron Davis;78; 6-6;198;1,9812;89,79591837
Ron Feiereisel;75; 6-3;185;1,905;83,90022676
Ron Filipek;77; 6-5;205;1,9558;92,97052154
Ron Grandison;78; 6-6;215;1,9812;97,50566893
Ron Harper;78; 6-6;185;1,9812;83,90022676
Ron Horn;79; 6-7;220;2,0066;99,77324263
Ron Johnson;80; 6-8;215;2,032;97,50566893
Ron Knight;79; 6-7;215;2,0066;97,50566893
Ron Lee;76; 6-4;193;1,9304;87,52834467
Ron Mercer;79; 6-7;210;2,0066;95,23809524
Ron Moore;84; 7-0;260;2,1336;117,9138322
Ron Reed;77; 6-5;205;1,9558;92,97052154
Ron Riley;80; 6-8;195;2,032;88,43537415
Ron Rowan;77; 6-5;200;1,9558;90,70294785
Ron Shavlik;80; 6-8;200;2,032;90,70294785
Ron Sobie;75; 6-3;185;1,905;83,90022676
Ron Watts;78; 6-6;210;1,9812;95,23809524
Ron Williams;75; 6-3;188;1,905;85,26077098
Ronald Dupree;79; 6-7;209;2,0066;94,7845805
Ronald Murray;76; 6-4;190;1,9304;86,16780045
Ronnie Brewer;79; 6-7;220;2,0066;99,77324263
Ronnie Lester;74; 6-2;175;1,8796;79,36507937
Ronnie MacGilvray;74; 6-2;185;1,8796;83,90022676
Ronnie Murphy;77; 6-5;225;1,9558;102,0408163
Ronnie Price;74; 6-2;190;1,8796;86,16780045
Ronnie Valentine;79; 6-7;210;2,0066;95,23809524
Ronny Turiaf;82; 6-10;249;2,0828;112,9251701
Rony Seikaly;83; 6-11;230;2,1082;104,30839
Rory Sparrow;74; 6-2;175;1,8796;79,36507937
Rory White;80; 6-8;210;2,032;95,23809524
Roshown McLeod;80; 6-8;221;2,032;100,2267574
Rowland Garrett;78; 6-6;210;1,9812;95,23809524
Roy Hamilton;74; 6-2;180;1,8796;81,63265306
Roy Hibbert;86; 7-2;278;2,1844;126,0770975
Roy Hinson;81; 6-9;210;2,0574;95,23809524
Roy Marble;78; 6-6;190;1,9812;86,16780045
Roy Rogers;82; 6-10;235;2,0828;106,5759637
Roy Tarpley;83; 6-11;230;2,1082;104,30839
Royal Ivey;75; 6-3;200;1,905;90,70294785
Royce White;80; 6-8;270;2,032;122,4489796
Ruben Boumtje-Boumtje;84; 7-0;257;2,1336;116,553288
Ruben Garces;81; 6-9;245;2,0574;111,1111111
Ruben Nembhard;75; 6-3;208;1,905;94,33106576
Ruben Patterson;77; 6-5;224;1,9558;101,5873016
Ruben Wolkowyski;82; 6-10;270;2,0828;122,4489796
Rudy Fernandez;78; 6-6;185;1,9812;83,90022676
Rudy Gay;80; 6-8;230;2,032;104,30839
Rudy Gobert;85; 7-1;220;2,159;99,77324263
Rudy Hackett;81; 6-9;210;2,0574;95,23809524
Rudy LaRusso;79; 6-7;220;2,0066;99,77324263
Rudy Macklin;79; 6-7;205;2,0066;92,97052154
Rudy Tomjanovich;80; 6-8;218;2,032;98,86621315
Rudy White;74; 6-2;195;1,8796;88,43537415
Rumeal Robinson;74; 6-2;195;1,8796;88,43537415
Russ Lee;77; 6-5;185;1,9558;83,90022676
Russ Schoene;82; 6-10;210;2,0828;95,23809524
Russell Cross;82; 6-10;215;2,0828;97,50566893
Russell Westbrook;75; 6-3;187;1,905;84,80725624
Rusty LaRue;74; 6-2;210;1,8796;95,23809524
Ryan Anderson;82; 6-10;240;2,0828;108,8435374
Ryan Bowen;79; 6-7;215;2,0066;97,50566893
Ryan Gomes;79; 6-7;250;2,0066;113,3786848
Ryan Hollins;84; 7-0;230;2,1336;104,30839
Ryan Humphrey;80; 6-8;235;2,032;106,5759637
Ryan Kelly;83; 6-11;230;2,1082;104,30839
Ryan Lorthridge;76; 6-4;190;1,9304;86,16780045
Ryan Reid;80; 6-8;232;2,032;105,2154195
Ryan Robertson;77; 6-5;190;1,9558;86,16780045
Ryan Stack;83; 6-11;215;2,1082;97,50566893
Salim Stoudamire;73; 6-1;179;1,8542;81,17913832
Sam Bowie;85; 7-1;235;2,159;106,5759637
Sam Cassell;75; 6-3;185;1,905;83,90022676
Sam Jacobson;76; 6-4;215;1,9304;97,50566893
Sam Jones;76; 6-4;198;1,9304;89,79591837
Sam Lacey;82; 6-10;235;2,0828;106,5759637
Sam Mack;79; 6-7;220;2,0066;99,77324263
Sam Mitchell;78; 6-6;210;1,9812;95,23809524
Sam Pellom;81; 6-9;225;2,0574;102,0408163
Sam Perkins;81; 6-9;235;2,0574;106,5759637
Sam Sibert;79; 6-7;215;2,0066;97,50566893
Sam Smith;76; 6-4;200;1,9304;90,70294785
Sam Stith;74; 6-2;185;1,8796;83,90022676
Sam Vincent;74; 6-2;185;1,8796;83,90022676
Sam Williams;75; 6-3;180;1,905;81,63265306
Sam Williams;80; 6-8;210;2,032;95,23809524
Sam Worthen;77; 6-5;195;1,9558;88,43537415
Sam Young;78; 6-6;220;1,9812;99,77324263
Samaki Walker;81; 6-9;240;2,0574;108,8435374
Samardo Samuels;81; 6-9;260;2,0574;117,9138322
Samuel Dalembert;83; 6-11;250;2,1082;113,3786848
Sarunas Jasikevicius;76; 6-4;195;1,9304;88,43537415
Sarunas Marciulionis;77; 6-5;200;1,9558;90,70294785
Sasha Danilovic;77; 6-5;200;1,9558;90,70294785
Sasha Pavlovic;80; 6-8;220;2,032;99,77324263
Sasha Vujacic;79; 6-7;193;2,0066;87,52834467
Scooter McCray;81; 6-9;215;2,0574;97,50566893
Scot Pollard;83; 6-11;265;2,1082;120,1814059
Scott Brooks;71; 5-11;165;1,8034;74,82993197
Scott Burrell;79; 6-7;218;2,0066;98,86621315
Scott English;78; 6-6;205;1,9812;92,97052154
Scott Haffner;75; 6-3;180;1,905;81,63265306
Scott Haskin;83; 6-11;250;2,1082;113,3786848
Scott Hastings;82; 6-10;235;2,0828;106,5759637
Scott Lloyd;82; 6-10;230;2,0828;104,30839
Scott Machado;73; 6-1;205;1,8542;92,97052154
Scott May;79; 6-7;215;2,0066;97,50566893
Scott Meents;82; 6-10;225;2,0828;102,0408163
Scott Padgett;81; 6-9;240;2,0574;108,8435374
Scott Roth;80; 6-8;212;2,032;96,14512472
Scott Sims;73; 6-1;170;1,8542;77,09750567
Scott Skiles;73; 6-1;180;1,8542;81,63265306
Scott Wedman;79; 6-7;215;2,0066;97,50566893
Scott Williams;82; 6-10;230;2,0828;104,30839
Scottie Pippen;80; 6-8;210;2,032;95,23809524
Scotty Hopson;79; 6-7;204;2,0066;92,5170068
Sean Colson;72; 6-0;175;1,8288;79,36507937
Sean Elliott;80; 6-8;205;2,032;92,97052154
Sean Green;77; 6-5;210;1,9558;95,23809524
Sean Higgins;81; 6-9;205;2,0574;92,97052154
Sean Lampley;79; 6-7;227;2,0066;102,9478458
Sean Marks;82; 6-10;250;2,0828;113,3786848
Sean May;81; 6-9;266;2,0574;120,6349206
