Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
Hamed Haddadi;86; 7-2;254;2,1844;115,1927438
Hank Finkel;84; 7-0;240;2,1336;108,8435374
Hank McDowell;81; 6-9;215;2,0574;97,50566893
Hanno Mottola;83; 6-11;247;2,1082;112,0181406
Happy Hairston;79; 6-7;225;2,0066;102,0408163
Harold Ellis;77; 6-5;200;1,9558;90,70294785
Harold Fox;74; 6-2;175;1,8796;79,36507937
Harold Jamison;80; 6-8;260;2,032;117,9138322
Harold Keeling;76; 6-4;185;1,9304;83,90022676
Harold Miner;77; 6-5;210;1,9558;95,23809524
Harold Pressley;79; 6-7;210;2,0066;95,23809524
Harrison Barnes;80; 6-8;210;2,032;95,23809524
Harry Barnes;75; 6-3;205;1,905;92,97052154
Harry Davis;79; 6-7;220;2,0066;99,77324263
Harry Gallatin;78; 6-6;210;1,9812;95,23809524
Harthorne Wingo;78; 6-6;210;1,9812;95,23809524
Harvey Catchings;81; 6-9;218;2,0574;98,86621315
Harvey Grant;80; 6-8;195;2,032;88,43537415
Harvey Marlatt;75; 6-3;185;1,905;83,90022676
Hasheem Thabeet;87; 7-3;263;2,2098;119,2743764
Hassan Adams;76; 6-4;220;1,9304;99,77324263
Hassan Whiteside;84; 7-0;235;2,1336;106,5759637
Hawkeye Whitney;77; 6-5;235;1,9558;106,5759637
Haywoode Workman;74; 6-2;180;1,8796;81,63265306
Hedo Turkoglu;82; 6-10;220;2,0828;99,77324263
Henry Akin;82; 6-10;225;2,0828;102,0408163
Henry Bibby;73; 6-1;185;1,8542;83,90022676
Henry Dickerson;76; 6-4;190;1,9304;86,16780045
Henry James;80; 6-8;220;2,032;99,77324263
Henry Sims;82; 6-10;245;2,0828;111,1111111
Henry Turner;79; 6-7;200;2,0066;90,70294785
Henry Ward;76; 6-4;195;1,9304;88,43537415
Herb White;74; 6-2;195;1,8796;88,43537415
Herb Williams;82; 6-10;242;2,0828;109,7505669
Herm Gilliam;75; 6-3;190;1,905;86,16780045
Herm Hedderick;77; 6-5;170;1,9558;77,09750567
Hersey Hawkins;75; 6-3;190;1,905;86,16780045
Hilton Armstrong;83; 6-11;235;2,1082;106,5759637
Hiram Fuller;81; 6-9;240;2,0574;108,8435374
Hollis Copeland;78; 6-6;180;1,9812;81,63265306
Hollis Thompson;80; 6-8;206;2,032;93,42403628
Horace Grant;82; 6-10;215;2,0828;97,50566893
Horace Jenkins;73; 6-1;180;1,8542;81,63265306
Horace Walker;75; 6-3;210;1,905;95,23809524
Horacio Llamas Grey;83; 6-11;285;2,1082;129,2517007
Hot Rod Hundley;76; 6-4;185;1,9304;83,90022676
Hot Rod Williams;83; 6-11;215;2,1082;97,50566893
Howard Carter;77; 6-5;215;1,9558;97,50566893
Howard Eisley;74; 6-2;177;1,8796;80,27210884
Howard Komives;73; 6-1;185;1,8542;83,90022676
Howard Nathan;71; 5-11;175;1,8034;79,36507937
Howard Porter;80; 6-8;220;2,032;99,77324263
Howard Wood;79; 6-7;235;2,0066;106,5759637
Howard Wright;80; 6-8;220;2,032;99,77324263
Howie Carl;69; 5-9;160;1,7526;72,56235828
Howie Jolliff;79; 6-7;218;2,0066;98,86621315
Howie Montgomery;77; 6-5;220;1,9558;99,77324263
Hub Reed;81; 6-9;215;2,0574;97,50566893
Hubert Davis;77; 6-5;183;1,9558;82,99319728
Hubie White;76; 6-4;205;1,9304;92,97052154
Hutch Jones;80; 6-8;190;2,032;86,16780045
Ian Clark;75; 6-3;175;1,905;79,36507937
Ian Lockhart;80; 6-8;240;2,032;108,8435374
Ian Mahinmi;83; 6-11;230;2,1082;104,30839
Ibo Kutluay;78; 6-6;200;1,9812;90,70294785
Igor Rakocevic;75; 6-3;183;1,905;82,99319728
Ike Diogu;80; 6-8;250;2,032;113,3786848
Iman Shumpert;77; 6-5;212;1,9558;96,14512472
Ime Udoka;78; 6-6;215;1,9812;97,50566893
Ira Bowman;77; 6-5;195;1,9558;88,43537415
Ira Newble;79; 6-7;220;2,0066;99,77324263
Ira Terrell;80; 6-8;200;2,032;90,70294785
Irv Bemoras;75; 6-3;185;1,905;83,90022676
Irv Kiffin;81; 6-9;225;2,0574;102,0408163
Irving Thomas;80; 6-8;225;2,032;102,0408163
Isaac Austin;82; 6-10;255;2,0828;115,6462585
Isaac Fontaine;76; 6-4;210;1,9304;95,23809524
Isaiah Canaan;72; 6-0;188;1,8288;85,26077098
Isaiah Morris;80; 6-8;229;2,032;103,8548753
Isaiah Rider;77; 6-5;215;1,9558;97,50566893
Isaiah Thomas;69; 5-9;185;1,7526;83,90022676
